;tsne1;tsne2
0;-18.688528;8.049758
1;-18.88732;7.918341
2;-20.138113;8.696342
3;-19.747917;8.430922
4;-16.811308;7.953815
5;-14.843141;8.152046
6;-15.827597;7.2194333
7;-14.913739;8.157238
8;-14.05544;8.08344
9;-14.058234;7.9376364
10;-14.158821;7.0374694
11;-14.161176;7.0546255
12;-14.818444;7.6086664
13;-14.748673;6.793231
14;6.658628;3.8165324
15;7.389997;4.449799
16;7.3563323;4.5678873
17;6.6852045;4.712333
18;-19.385838;11.770462
19;-18.966127;8.9076605
20;-17.78316;8.596294
21;5.03732;3.8841136
22;5.3352323;3.8073852
23;6.0004783;3.5754092
24;5.951424;3.526987
25;-15.168052;17.264084
26;-14.8757515;17.524706
27;-14.653657;17.598034
28;-14.578508;17.537199
29;-14.030959;17.323956
30;-14.649373;16.734232
31;-14.244082;8.85377
32;-15.381175;15.812515
33;-15.522432;16.15288
34;-15.640506;17.219072
35;-16.14062;17.592365
36;-13.995896;11.814289
37;-14.953787;10.357568
38;-14.659241;10.283965
39;-14.639408;10.25135
40;-14.324035;10.680564
41;-14.657243;12.021535
42;-15.073126;12.401033
43;-15.286995;12.826481
44;-15.55052;10.259402
45;-15.741734;10.59937
46;-15.440279;10.611664
47;6.7931633;5.245995
48;6.8562045;5.295512
49;-13.06592;10.611402
50;1.1668358;-18.044651
51;1.1604286;-18.058825
52;2.376654;-17.228321
53;2.3790824;-17.215425
54;0.78268546;-17.444662
55;0.565032;-17.516962
56;0.3474332;-17.763386
57;1.3052534;-17.416279
58;1.6701947;-17.485664
59;0.70889056;-17.945644
60;-2.551317;-19.00928
61;-2.3713365;-18.886307
62;-2.6567273;-18.60711
63;-2.737687;-18.124352
64;-2.2646172;-17.913853
65;-2.1457179;-17.980295
66;-1.501748;-19.141823
67;-1.7112488;-18.539501
68;-1.5776458;-17.805769
69;-1.6243728;-17.589848
70;-1.6853793;-17.374445
71;-1.9498239;-17.186205
72;-2.3357236;-17.191988
73;-2.6851933;-17.20976
74;-2.8456092;-17.462162
75;-11.085927;14.186084
76;-10.146795;14.445181
77;-10.585036;14.007488
78;-10.025013;13.363813
79;-9.723368;13.9029455
80;-9.805491;13.768976
81;-10.340043;14.270891
82;-10.091687;13.643197
83;-9.628872;13.070182
84;-10.681782;13.12802
85;-11.040778;13.081449
86;-10.701473;13.376802
87;-11.013325;14.528472
88;-5.944678;10.361967
89;-6.7384534;11.293193
90;-6.4342804;10.400883
91;-6.363165;10.3782425
92;-5.4444156;9.79705
93;-4.975695;9.101713
94;-4.8770046;9.010852
95;-5.881382;10.946136
96;-5.722582;11.21941
97;-5.7641883;11.5386095
98;-7.0669475;10.202253
99;-5.858154;9.661491
100;19.785173;-14.978425
101;19.249126;-13.913292
102;19.232655;-13.690571
103;19.252066;-13.508941
104;21.271784;-7.2107058
105;21.461306;-7.125387
106;22.049103;-7.860313
107;22.12908;-7.9119687
108;21.035015;-7.745055
109;21.023836;-7.7914243
110;21.182123;-7.4680085
111;19.750212;-16.356722
112;19.66004;-15.985837
113;19.454197;-15.949433
114;19.294565;-16.856762
115;18.872461;-16.204514
116;18.086508;-16.981184
117;18.905567;-17.217548
118;18.715504;-16.89733
119;18.38104;-16.100008
120;18.466835;-15.754001
121;18.785141;-15.855869
122;19.15037;-16.50924
123;18.576542;-16.613117
124;18.026917;-16.494242
125;-20.95699;-1.262908
126;-20.700727;-1.3961244
127;-20.980326;0.32943246
128;-20.933529;0.57519567
129;-21.494387;-1.246862
130;-21.431858;-0.8188382
131;-20.96099;-0.07317602
132;-21.690176;-0.13709092
133;-21.381145;-0.25229704
134;-20.596207;-0.69790524
135;-20.5164;-0.60724664
136;-19.885403;-0.2677349
137;-19.737713;-1.2877212
138;-19.477673;-1.3449008
139;-18.012264;0.4149468
140;-18.487034;0.5520239
141;4.3123174;-2.898012
142;3.8673844;-2.9160588
143;3.1838942;-2.5350914
144;2.9119549;-2.3313816
145;-20.281918;0.24222597
146;-20.204107;-0.05426187
147;-20.141542;-0.73959893
148;-20.080805;0.74888194
149;-19.256126;0.6552899
150;-8.795917;-5.688021
151;-9.125497;-5.675394
152;-9.127124;-5.5157638
153;-8.023259;-5.771605
154;-7.7403607;-5.3801627
155;-8.222808;-5.2793474
156;-7.384956;-6.1270537
157;-7.716112;-6.3898373
158;-7.1713953;-6.65995
159;-7.395632;-6.6537685
160;-7.790952;-5.1908298
161;-8.537348;-6.382001
162;-8.518824;-6.1465354
163;-3.7877944;-4.5278926
164;-3.6695747;-4.5211487
165;-2.9295547;-4.6591687
166;-3.6625164;-4.660395
167;-4.333667;-4.5177817
168;-5.992398;-5.193044
169;-5.1609263;-5.131344
170;-4.880838;-4.9535737
171;-2.0073843;-4.4168625
172;-0.75721943;-4.2519236
173;0.6267907;-4.4274273
174;0.64333326;-4.422366
175;-18.611404;-2.3776252
176;-18.793743;-2.1689105
177;-19.013079;-2.805843
178;-18.926498;-2.6123304
179;-18.690447;-3.062573
180;-19.524456;-2.5030577
181;-17.855331;-0.5002487
182;-17.879982;-1.7366694
183;-18.364134;-3.6000555
184;-17.930897;-2.9655201
185;-2.0194747;-2.9057999
186;-1.5434005;-2.8321862
187;-1.450673;-2.490251
188;-0.7317537;-1.8287399
189;1.5515021;-2.1790595
190;1.5948913;-2.2116685
191;1.6875447;-2.1370635
192;1.6654556;-2.3472404
193;2.1017904;-2.9840164
194;-0.047897555;-2.1702337
195;-2.0576074;-1.9309611
196;-2.090459;-1.8769101
197;-2.6378186;-1.541614
198;-2.858115;-1.5503856
199;-3.0225668;-1.4873743
200;1.5312189;10.474289
201;0.7977205;11.175126
202;1.2736225;10.272629
203;1.4825888;10.238921
204;-1.0927962;9.279734
205;1.8120686;10.107837
206;2.1507099;10.499396
207;2.021371;10.049789
208;1.3693593;11.026782
209;1.7834264;11.335871
210;2.0178041;11.027384
211;-0.8087313;7.8895464
212;-0.74599427;6.9587636
213;-0.75123835;6.9477544
214;-0.7096238;6.776254
215;0.17477518;3.7557342
216;-0.5033296;4.7474627
217;-0.5486321;4.758703
218;2.3265631;11.530147
219;2.124493;11.974775
220;0.06322504;3.8378012
221;0.13512735;3.7463639
222;0.5028499;4.109452
223;0.26369452;4.5247974
224;0.22845301;3.6567326
225;-9.016889;5.9952464
226;-9.185678;5.8005786
227;-9.331636;5.3327103
228;-10.545294;5.563844
229;-10.901007;5.2123704
230;-10.550656;4.315849
231;-11.043519;4.137318
232;-20.303782;8.430052
233;-18.44098;8.639008
234;-18.548008;9.572512
235;-18.543242;9.522166
236;-19.006702;9.41616
237;-19.351583;9.412686
238;-19.659883;9.817024
239;-19.868832;11.307123
240;-19.903671;11.172452
241;-19.974638;10.3093195
242;-20.714754;8.348729
243;6.6817603;1.86122
244;7.3250413;2.21177
245;7.39424;2.2556624
246;5.9934483;1.8050601
247;5.9711103;1.9137319
248;-11.428923;6.6744485
249;-11.425381;6.6823378
250;3.6312754;17.375519
251;3.731311;17.227535
252;1.971865;16.440674
253;3.9524882;16.521183
254;1.8029689;15.680578
255;2.8797688;16.499329
256;2.223802;16.08218
257;1.9411417;15.59406
258;3.3233666;16.699017
259;2.69797;16.247494
260;3.2075455;17.548044
261;2.6988559;15.468163
262;3.7733808;15.893903
263;4.270197;15.807779
264;5.045732;13.097541
265;2.2920444;14.701862
266;3.9989944;14.58115
267;3.7486136;14.987554
268;3.0506709;15.330511
269;3.3756344;15.683935
270;3.4588652;16.054144
271;2.8205552;17.011347
272;2.4418728;17.306414
273;2.3148084;16.770685
274;1.5849622;14.415615
275;-5.7262907;40.21986
276;-5.8727427;39.543945
277;-5.5140996;39.83251
278;-5.0396137;38.669075
279;-4.8093596;39.59783
280;-3.8742318;39.68705
281;-4.772169;39.703213
282;-4.843637;39.432854
283;-3.9820492;38.85993
284;-3.9342885;38.848465
285;-3.1685455;38.694447
286;-3.7903981;38.31561
287;-3.962974;38.20628
288;-2.7398827;39.44645
289;-2.170042;39.29228
290;-3.0811794;39.18459
291;-5.438365;38.965706
